FlightID,Airline,ScheduledDeparture,ActualDeparture,Gate,DelayMinutes,DeparturePlace,DestinationPlace
FL1263,British Airways,2025-09-02 16:30:00,2025-09-02 16:50:00,G12,20,Dubai,Bangkok
FL1264,Air India,2025-09-02 17:00:00,2025-09-02 17:10:00,G10,10,Dubai,Los Angeles
FL1265,Qatar Airways,2025-09-02 17:30:00,2025-09-02 17:40:00,G15,10,Dubai,Los Angeles
FL1266,Etihad,2025-09-02 18:00:00,2025-09-02 18:10:00,G17,10,Dubai,Chicago
FL1267,Singapore Airlines,2025-09-02 18:30:00,2025-09-02 19:00:00,G15,30,Dubai,New York
FL1268,Qatar Airways,2025-09-02 19:00:00,2025-09-02 19:20:00,G14,20,Dubai,Los Angeles
FL1269,Lufthansa,2025-09-02 19:30:00,2025-09-02 19:50:00,G6,20,Dubai,Hong Kong
FL1270,Qatar Airways,2025-09-02 20:00:00,2025-09-02 20:10:00,G10,10,Dubai,London
FL1271,Air India,2025-09-02 20:30:00,2025-09-02 20:50:00,G15,20,Dubai,Paris
FL1272,Singapore Airlines,2025-09-02 21:00:00,2025-09-02 21:20:00,G3,20,Dubai,New York
FL1273,Qatar Airways,2025-09-02 21:30:00,2025-09-02 22:30:00,G5,60,Dubai,Mumbai
FL1274,Qatar Airways,2025-09-02 22:00:00,2025-09-02 22:40:00,G2,40,Dubai,Mumbai
FL1275,Lufthansa,2025-09-02 22:30:00,2025-09-02 22:50:00,G20,20,Dubai,Bangkok
FL1276,Turkish Airlines,2025-09-02 23:00:00,2025-09-02 23:40:00,G14,40,Dubai,Delhi
FL1277,Turkish Airlines,2025-09-02 23:30:00,2025-09-03 00:30:00,G17,60,Dubai,Bangkok
FL1278,Air India,2025-09-03 00:00:00,2025-09-03 00:25:00,G6,25,Dubai,Mumbai
FL1279,Qatar Airways,2025-09-03 00:30:00,2025-09-03 01:10:00,G7,40,Dubai,Rome
FL1280,Etihad,2025-09-03 01:00:00,2025-09-03 01:15:00,G5,15,Dubai,Chicago
FL1281,Lufthansa,2025-09-03 01:30:00,2025-09-03 02:05:00,G6,35,Dubai,Hong Kong
FL1282,Qatar Airways,2025-09-03 02:00:00,2025-09-03 02:15:00,G18,15,Dubai,Hong Kong
FL1283,Etihad,2025-09-03 02:30:00,2025-09-03 03:30:00,G11,60,Dubai,London
FL1284,Qatar Airways,2025-09-03 03:00:00,2025-09-03 03:10:00,G1,10,Dubai,Doha
FL1285,Emirates,2025-09-03 03:30:00,2025-09-03 03:55:00,G17,25,Dubai,Hong Kong
FL1286,British Airways,2025-09-03 04:00:00,2025-09-03 04:35:00,G15,35,Dubai,Bangkok
FL1287,Singapore Airlines,2025-09-03 04:30:00,2025-09-03 04:40:00,G15,10,Dubai,Frankfurt
FL1288,Etihad,2025-09-03 05:00:00,2025-09-03 05:20:00,G11,20,Dubai,Los Angeles
FL1289,Turkish Airlines,2025-09-03 05:30:00,2025-09-03 05:45:00,G1,15,Dubai,Bangkok
FL1290,Lufthansa,2025-09-03 06:00:00,2025-09-03 06:25:00,G20,25,Dubai,Frankfurt
FL1291,Qatar Airways,2025-09-03 06:30:00,2025-09-03 06:40:00,G17,10,Dubai,Bangkok
FL1292,Turkish Airlines,2025-09-03 07:00:00,2025-09-03 07:40:00,G9,40,Dubai,Bangkok
FL1293,Lufthansa,2025-09-03 07:30:00,2025-09-03 07:40:00,G6,10,Dubai,Los Angeles
FL1294,Qatar Airways,2025-09-03 08:00:00,2025-09-03 08:40:00,G3,40,Dubai,Istanbul
FL1295,Lufthansa,2025-09-03 08:30:00,2025-09-03 08:55:00,G2,25,Dubai,London
FL1296,Qatar Airways,2025-09-03 09:00:00,2025-09-03 09:35:00,G16,35,Dubai,Hong Kong
FL1297,Turkish Airlines,2025-09-03 09:30:00,2025-09-03 09:40:00,G8,10,Dubai,Chicago
FL1298,Air India,2025-09-03 10:00:00,2025-09-03 10:15:00,G1,15,Dubai,Hong Kong
FL1299,Qatar Airways,2025-09-03 10:30:00,2025-09-03 11:05:00,G12,35,Dubai,Delhi
FL1300,Qatar Airways,2025-09-03 11:00:00,2025-09-03 11:10:00,G7,10,Dubai,Mumbai
FL1301,Etihad,2025-09-03 11:30:00,2025-09-03 12:10:00,G9,40,Dubai,Delhi
FL1302,Qatar Airways,2025-09-03 12:00:00,2025-09-03 12:00:00,G12,0,Dubai,Zurich
FL1303,Emirates,2025-09-03 12:30:00,2025-09-03 12:55:00,G16,25,Dubai,Singapore
FL1304,Qatar Airways,2025-09-03 13:00:00,2025-09-03 13:00:00,G17,0,Dubai,Amsterdam
FL1305,Singapore Airlines,2025-09-03 13:30:00,2025-09-03 13:45:00,G4,15,Dubai,Doha
FL1306,Singapore Airlines,2025-09-03 14:00:00,2025-09-03 14:30:00,G6,30,Dubai,Frankfurt
FL1307,British Airways,2025-09-03 14:30:00,2025-09-03 14:50:00,G4,20,Dubai,Mumbai
FL1308,Emirates,2025-09-03 15:00:00,2025-09-03 15:30:00,G12,30,Dubai,Mumbai
FL1309,Lufthansa,2025-09-03 15:30:00,2025-09-03 16:00:00,G18,30,Dubai,Frankfurt
FL1310,Singapore Airlines,2025-09-03 16:00:00,2025-09-03 17:00:00,G20,60,Dubai,Frankfurt
FL1311,Turkish Airlines,2025-09-03 16:30:00,2025-09-03 17:05:00,G12,35,Dubai,Doha
FL1312,Turkish Airlines,2025-09-03 17:00:00,2025-09-03 17:15:00,G11,15,Dubai,Tokyo
FL1313,Emirates,2025-09-03 17:30:00,2025-09-03 17:40:00,G2,10,Dubai,Zurich
FL1314,Lufthansa,2025-09-03 18:00:00,2025-09-03 18:15:00,G1,15,Dubai,New York
FL1315,Lufthansa,2025-09-03 18:30:00,2025-09-03 19:10:00,G2,40,Dubai,Rome
FL1316,Turkish Airlines,2025-09-03 19:00:00,2025-09-03 19:15:00,G17,15,Dubai,Delhi
FL1317,Emirates,2025-09-03 19:30:00,2025-09-03 19:45:00,G14,15,Dubai,Istanbul
FL1318,Lufthansa,2025-09-03 20:00:00,2025-09-03 20:10:00,G13,10,Dubai,Zurich
FL1319,Lufthansa,2025-09-03 20:30:00,2025-09-03 20:50:00,G5,20,Dubai,Los Angeles
FL1320,Etihad,2025-09-03 21:00:00,2025-09-03 22:00:00,G5,60,Dubai,Istanbul
FL1321,British Airways,2025-09-03 21:30:00,2025-09-03 21:55:00,G1,25,Dubai,Los Angeles
FL1322,British Airways,2025-09-03 22:00:00,2025-09-03 22:25:00,G5,25,Dubai,Paris
FL1323,Singapore Airlines,2025-09-03 22:30:00,2025-09-03 23:30:00,G7,60,Dubai,London
FL1324,Qatar Airways,2025-09-03 23:00:00,2025-09-03 23:40:00,G12,40,Dubai,Hong Kong
FL1325,Turkish Airlines,2025-09-03 23:30:00,2025-09-03 23:30:00,G20,0,Dubai,Bangkok
FL1326,Qatar Airways,2025-09-04 00:00:00,2025-09-04 00:20:00,G2,20,Dubai,New York
FL1327,Qatar Airways,2025-09-04 00:30:00,2025-09-04 00:45:00,G8,15,Dubai,Rome
FL1328,Emirates,2025-09-04 01:00:00,2025-09-04 01:35:00,G12,35,Dubai,Singapore
FL1329,Air India,2025-09-04 01:30:00,2025-09-04 02:30:00,G7,60,Dubai,Doha
FL1330,Lufthansa,2025-09-04 02:00:00,2025-09-04 02:10:00,G2,10,Dubai,Bangkok
FL1331,Emirates,2025-09-04 02:30:00,2025-09-04 02:40:00,G11,10,Dubai,London
FL1332,Air India,2025-09-04 03:00:00,2025-09-04 03:15:00,G20,15,Dubai,Chicago
FL1333,Qatar Airways,2025-09-04 03:30:00,2025-09-04 04:05:00,G7,35,Dubai,New York
FL1334,Air India,2025-09-04 04:00:00,2025-09-04 05:00:00,G7,60,Dubai,Frankfurt
FL1335,Turkish Airlines,2025-09-04 04:30:00,2025-09-04 04:55:00,G3,25,Dubai,New York
FL1336,Air India,2025-09-04 05:00:00,2025-09-04 05:00:00,G15,0,Dubai,Amsterdam
FL1337,British Airways,2025-09-04 05:30:00,2025-09-04 05:55:00,G11,25,Dubai,Los Angeles
FL1338,Qatar Airways,2025-09-04 06:00:00,2025-09-04 06:00:00,G12,0,Dubai,Rome
FL1339,Turkish Airlines,2025-09-04 06:30:00,2025-09-04 06:50:00,G8,20,Dubai,Cape Town
FL1340,Air India,2025-09-04 07:00:00,2025-09-04 07:00:00,G10,0,Dubai,Delhi
FL1341,British Airways,2025-09-04 07:30:00,2025-09-04 08:00:00,G3,30,Dubai,Frankfurt
FL1342,Turkish Airlines,2025-09-04 08:00:00,2025-09-04 08:00:00,G12,0,Dubai,Hong Kong
FL1343,Lufthansa,2025-09-04 08:30:00,2025-09-04 08:45:00,G20,15,Dubai,Singapore
FL1344,Turkish Airlines,2025-09-04 09:00:00,2025-09-04 09:10:00,G7,10,Dubai,London
FL1345,Emirates,2025-09-04 09:30:00,2025-09-04 09:30:00,G2,0,Dubai,Amsterdam
FL1346,Emirates,2025-09-04 10:00:00,2025-09-04 10:15:00,G15,15,Dubai,Sydney
FL1347,Etihad,2025-09-04 10:30:00,2025-09-04 10:50:00,G9,20,Dubai,Amsterdam
FL1348,Lufthansa,2025-09-04 11:00:00,2025-09-04 11:10:00,G7,10,Dubai,Sydney
FL1349,Etihad,2025-09-04 11:30:00,2025-09-04 11:45:00,G19,15,Dubai,Mumbai
FL1350,Lufthansa,2025-09-04 12:00:00,2025-09-04 12:20:00,G9,20,Dubai,Amsterdam
FL1351,Emirates,2025-09-04 12:30:00,2025-09-04 13:05:00,G11,35,Dubai,Rome
FL1352,Emirates,2025-09-04 13:00:00,2025-09-04 13:35:00,G5,35,Dubai,Bangkok
FL1353,Etihad,2025-09-04 13:30:00,2025-09-04 13:30:00,G10,0,Dubai,Rome
FL1354,British Airways,2025-09-04 14:00:00,2025-09-04 14:25:00,G7,25,Dubai,Tokyo
FL1355,British Airways,2025-09-04 14:30:00,2025-09-04 14:50:00,G16,20,Dubai,Frankfurt
FL1356,Lufthansa,2025-09-04 15:00:00,2025-09-04 15:20:00,G7,20,Dubai,Istanbul
FL1357,Turkish Airlines,2025-09-04 15:30:00,2025-09-04 16:00:00,G18,30,Dubai,Rome
FL1358,Turkish Airlines,2025-09-04 16:00:00,2025-09-04 16:20:00,G4,20,Dubai,Paris
FL1359,Singapore Airlines,2025-09-04 16:30:00,2025-09-04 17:00:00,G12,30,Dubai,Sydney
FL1360,Air India,2025-09-04 17:00:00,2025-09-04 17:00:00,G9,0,Dubai,London
FL1361,Singapore Airlines,2025-09-04 17:30:00,2025-09-04 17:40:00,G20,10,Dubai,Cape Town
FL1362,Air India,2025-09-04 18:00:00,2025-09-04 18:00:00,G8,0,Dubai,Delhi
FL1363,Emirates,2025-09-04 18:30:00,2025-09-04 18:55:00,G5,25,Dubai,Cape Town
FL1364,Etihad,2025-09-04 19:00:00,2025-09-04 19:20:00,G11,20,Dubai,Singapore
FL1365,Etihad,2025-09-04 19:30:00,2025-09-04 19:30:00,G2,0,Dubai,Toronto
FL1366,Etihad,2025-09-04 20:00:00,2025-09-04 20:40:00,G12,40,Dubai,Rome
FL1367,Etihad,2025-09-04 20:30:00,2025-09-04 20:40:00,G8,10,Dubai,Cape Town
FL1368,Lufthansa,2025-09-04 21:00:00,2025-09-04 21:20:00,G6,20,Dubai,Toronto
FL1369,Etihad,2025-09-04 21:30:00,2025-09-04 21:50:00,G1,20,Dubai,Amsterdam
FL1370,British Airways,2025-09-04 22:00:00,2025-09-04 22:40:00,G6,40,Dubai,Cape Town
FL1371,Qatar Airways,2025-09-04 22:30:00,2025-09-04 23:30:00,G12,60,Dubai,London
FL1372,Singapore Airlines,2025-09-04 23:00:00,2025-09-04 23:25:00,G1,25,Dubai,Zurich
FL1373,Etihad,2025-09-04 23:30:00,2025-09-04 23:55:00,G15,25,Dubai,London
FL1374,Qatar Airways,2025-09-05 00:00:00,2025-09-05 00:40:00,G10,40,Dubai,Bangkok
FL1375,Singapore Airlines,2025-09-05 00:30:00,2025-09-05 01:10:00,G16,40,Dubai,Frankfurt
FL1376,British Airways,2025-09-05 01:00:00,2025-09-05 01:25:00,G4,25,Dubai,Mumbai
FL1377,British Airways,2025-09-05 01:30:00,2025-09-05 01:30:00,G14,0,Dubai,Doha
FL1378,Qatar Airways,2025-09-05 02:00:00,2025-09-05 02:15:00,G2,15,Dubai,Hong Kong
FL1379,Singapore Airlines,2025-09-05 02:30:00,2025-09-05 02:45:00,G11,15,Dubai,Istanbul
FL1380,Turkish Airlines,2025-09-05 03:00:00,2025-09-05 03:10:00,G20,10,Dubai,Hong Kong
FL1381,Singapore Airlines,2025-09-05 03:30:00,2025-09-05 04:10:00,G13,40,Dubai,Doha
FL1382,Air India,2025-09-05 04:00:00,2025-09-05 04:30:00,G11,30,Dubai,Los Angeles
FL1383,Lufthansa,2025-09-05 04:30:00,2025-09-05 05:10:00,G11,40,Dubai,New York
FL1384,Turkish Airlines,2025-09-05 05:00:00,2025-09-05 06:00:00,G2,60,Dubai,Amsterdam
FL1385,Turkish Airlines,2025-09-05 05:30:00,2025-09-05 05:55:00,G1,25,Dubai,Tokyo
FL1386,Singapore Airlines,2025-09-05 06:00:00,2025-09-05 06:25:00,G5,25,Dubai,Delhi
FL1387,Qatar Airways,2025-09-05 06:30:00,2025-09-05 06:55:00,G18,25,Dubai,Sydney
FL1388,Emirates,2025-09-05 07:00:00,2025-09-05 07:25:00,G13,25,Dubai,Chicago
FL1389,Lufthansa,2025-09-05 07:30:00,2025-09-05 07:55:00,G15,25,Dubai,Hong Kong
FL1390,Turkish Airlines,2025-09-05 08:00:00,2025-09-05 08:10:00,G1,10,Dubai,Hong Kong
FL1391,Emirates,2025-09-05 08:30:00,2025-09-05 09:05:00,G15,35,Dubai,Istanbul
FL1392,Lufthansa,2025-09-05 09:00:00,2025-09-05 09:20:00,G5,20,Dubai,Singapore
FL1393,Emirates,2025-09-05 09:30:00,2025-09-05 09:55:00,G15,25,Dubai,Frankfurt
FL1394,Turkish Airlines,2025-09-05 10:00:00,2025-09-05 11:00:00,G5,60,Dubai,Toronto
FL1395,Lufthansa,2025-09-05 10:30:00,2025-09-05 11:00:00,G5,30,Dubai,London
FL1396,Turkish Airlines,2025-09-05 11:00:00,2025-09-05 11:35:00,G13,35,Dubai,Amsterdam
FL1397,Singapore Airlines,2025-09-05 11:30:00,2025-09-05 11:30:00,G19,0,Dubai,Doha
FL1398,Singapore Airlines,2025-09-05 12:00:00,2025-09-05 12:30:00,G17,30,Dubai,Frankfurt
FL1399,Etihad,2025-09-05 12:30:00,2025-09-05 13:30:00,G6,60,Dubai,Singapore
FL1400,Turkish Airlines,2025-09-05 13:00:00,2025-09-05 13:30:00,G6,30,Dubai,Toronto
FL1401,British Airways,2025-09-05 13:30:00,2025-09-05 13:50:00,G2,20,Dubai,Zurich
FL1402,Singapore Airlines,2025-09-05 14:00:00,2025-09-05 15:00:00,G14,60,Dubai,Hong Kong
FL1403,Lufthansa,2025-09-05 14:30:00,2025-09-05 15:05:00,G19,35,Dubai,Cape Town
FL1404,Qatar Airways,2025-09-05 15:00:00,2025-09-05 15:25:00,G7,25,Dubai,Chicago
FL1405,Turkish Airlines,2025-09-05 15:30:00,2025-09-05 16:10:00,G17,40,Dubai,Delhi
FL1406,Qatar Airways,2025-09-05 16:00:00,2025-09-05 16:00:00,G7,0,Dubai,Zurich
FL1407,Air India,2025-09-05 16:30:00,2025-09-05 17:10:00,G9,40,Dubai,Rome
FL1408,Emirates,2025-09-05 17:00:00,2025-09-05 17:35:00,G7,35,Dubai,Tokyo
FL1409,Emirates,2025-09-05 17:30:00,2025-09-05 18:00:00,G7,30,Dubai,Frankfurt
FL1410,Air India,2025-09-05 18:00:00,2025-09-05 18:20:00,G2,20,Dubai,Frankfurt
FL1411,Emirates,2025-09-05 18:30:00,2025-09-05 18:30:00,G2,0,Dubai,Mumbai
FL1412,Qatar Airways,2025-09-05 19:00:00,2025-09-05 19:00:00,G3,0,Dubai,Doha
FL1413,Air India,2025-09-05 19:30:00,2025-09-05 19:30:00,G13,0,Dubai,New York
FL1414,Qatar Airways,2025-09-05 20:00:00,2025-09-05 20:40:00,G2,40,Dubai,Rome
FL1415,Lufthansa,2025-09-05 20:30:00,2025-09-05 20:50:00,G19,20,Dubai,Tokyo
FL1416,Emirates,2025-09-05 21:00:00,2025-09-05 21:25:00,G5,25,Dubai,Toronto
FL1417,British Airways,2025-09-05 21:30:00,2025-09-05 22:00:00,G20,30,Dubai,Doha
FL1418,Singapore Airlines,2025-09-05 22:00:00,2025-09-05 22:20:00,G12,20,Dubai,Frankfurt
FL1419,Qatar Airways,2025-09-05 22:30:00,2025-09-05 23:10:00,G20,40,Dubai,Zurich
FL1420,Turkish Airlines,2025-09-05 23:00:00,2025-09-05 23:40:00,G7,40,Dubai,Frankfurt
FL1421,British Airways,2025-09-05 23:30:00,2025-09-05 23:45:00,G2,15,Dubai,Sydney
FL1422,British Airways,2025-09-06 00:00:00,2025-09-06 00:10:00,G1,10,Dubai,London
FL1423,Air India,2025-09-06 00:30:00,2025-09-06 00:40:00,G11,10,Dubai,Doha
FL1424,Turkish Airlines,2025-09-06 01:00:00,2025-09-06 01:35:00,G3,35,Dubai,Mumbai
FL1425,Singapore Airlines,2025-09-06 01:30:00,2025-09-06 01:55:00,G18,25,Dubai,Hong Kong
FL1426,Lufthansa,2025-09-06 02:00:00,2025-09-06 02:10:00,G16,10,Dubai,Rome
FL1427,Qatar Airways,2025-09-06 02:30:00,2025-09-06 02:50:00,G10,20,Dubai,Zurich
FL1428,Air India,2025-09-06 03:00:00,2025-09-06 03:40:00,G11,40,Dubai,Delhi
FL1429,Lufthansa,2025-09-06 03:30:00,2025-09-06 03:30:00,G15,0,Dubai,Sydney
FL1430,Emirates,2025-09-06 04:00:00,2025-09-06 04:20:00,G6,20,Dubai,Amsterdam
FL1431,Turkish Airlines,2025-09-06 04:30:00,2025-09-06 04:50:00,G5,20,Dubai,Mumbai
FL1432,Qatar Airways,2025-09-06 05:00:00,2025-09-06 05:20:00,G8,20,Dubai,Mumbai
FL1433,British Airways,2025-09-06 05:30:00,2025-09-06 06:30:00,G15,60,Dubai,Zurich
FL1434,Emirates,2025-09-06 06:00:00,2025-09-06 06:30:00,G11,30,Dubai,Mumbai
FL1435,Etihad,2025-09-06 06:30:00,2025-09-06 06:50:00,G16,20,Dubai,Amsterdam
FL1436,Singapore Airlines,2025-09-06 07:00:00,2025-09-06 07:25:00,G6,25,Dubai,Toronto
FL1437,Singapore Airlines,2025-09-06 07:30:00,2025-09-06 07:45:00,G2,15,Dubai,Frankfurt
FL1438,Etihad,2025-09-06 08:00:00,2025-09-06 08:25:00,G20,25,Dubai,Delhi
FL1439,Singapore Airlines,2025-09-06 08:30:00,2025-09-06 08:30:00,G4,0,Dubai,Paris
FL1440,Singapore Airlines,2025-09-06 09:00:00,2025-09-06 10:00:00,G10,60,Dubai,Hong Kong
FL1441,Singapore Airlines,2025-09-06 09:30:00,2025-09-06 09:55:00,G18,25,Dubai,Frankfurt
FL1442,British Airways,2025-09-06 10:00:00,2025-09-06 10:35:00,G4,35,Dubai,Singapore
FL1443,Emirates,2025-09-06 10:30:00,2025-09-06 10:55:00,G17,25,Dubai,Paris
FL1444,Lufthansa,2025-09-06 11:00:00,2025-09-06 11:00:00,G1,0,Dubai,Toronto
FL1445,Turkish Airlines,2025-09-06 11:30:00,2025-09-06 12:05:00,G13,35,Dubai,Paris
FL1446,Lufthansa,2025-09-06 12:00:00,2025-09-06 12:00:00,G15,0,Dubai,Doha
FL1447,Singapore Airlines,2025-09-06 12:30:00,2025-09-06 13:05:00,G15,35,Dubai,Paris
FL1448,Turkish Airlines,2025-09-06 13:00:00,2025-09-06 13:40:00,G18,40,Dubai,Bangkok
FL1449,Emirates,2025-09-06 13:30:00,2025-09-06 13:55:00,G20,25,Dubai,Cape Town
FL1450,British Airways,2025-09-06 14:00:00,2025-09-06 14:30:00,G20,30,Dubai,Doha
FL1451,Singapore Airlines,2025-09-06 14:30:00,2025-09-06 15:05:00,G4,35,Dubai,Hong Kong
FL1452,Etihad,2025-09-06 15:00:00,2025-09-06 15:20:00,G1,20,Dubai,Toronto
FL1453,Turkish Airlines,2025-09-06 15:30:00,2025-09-06 15:55:00,G15,25,Dubai,Rome
FL1454,British Airways,2025-09-06 16:00:00,2025-09-06 16:35:00,G20,35,Dubai,Delhi
FL1455,Emirates,2025-09-06 16:30:00,2025-09-06 16:50:00,G20,20,Dubai,Chicago
FL1456,Emirates,2025-09-06 17:00:00,2025-09-06 17:30:00,G14,30,Dubai,Chicago
FL1457,Turkish Airlines,2025-09-06 17:30:00,2025-09-06 17:50:00,G16,20,Dubai,Chicago
FL1458,Air India,2025-09-06 18:00:00,2025-09-06 18:20:00,G10,20,Dubai,Zurich
FL1459,Emirates,2025-09-06 18:30:00,2025-09-06 18:55:00,G13,25,Dubai,Zurich
FL1460,Qatar Airways,2025-09-06 19:00:00,2025-09-06 19:35:00,G17,35,Dubai,Rome
FL1461,Etihad,2025-09-06 19:30:00,2025-09-06 20:00:00,G11,30,Dubai,Cape Town
FL1462,British Airways,2025-09-06 20:00:00,2025-09-06 20:20:00,G2,20,Dubai,Hong Kong
FL1463,Turkish Airlines,2025-09-06 20:30:00,2025-09-06 21:10:00,G19,40,Dubai,Hong Kong
FL1464,Lufthansa,2025-09-06 21:00:00,2025-09-06 21:35:00,G13,35,Dubai,Amsterdam
FL1465,Etihad,2025-09-06 21:30:00,2025-09-06 22:30:00,G10,60,Dubai,Amsterdam
FL1466,Emirates,2025-09-06 22:00:00,2025-09-06 22:40:00,G7,40,Dubai,Istanbul
FL1467,Emirates,2025-09-06 22:30:00,2025-09-06 22:45:00,G16,15,Dubai,Mumbai
FL1468,Singapore Airlines,2025-09-06 23:00:00,2025-09-06 23:30:00,G20,30,Dubai,Rome
FL1469,Air India,2025-09-06 23:30:00,2025-09-06 23:45:00,G18,15,Dubai,Delhi
FL1470,British Airways,2025-09-07 00:00:00,2025-09-07 00:00:00,G17,0,Dubai,Istanbul
FL1471,Qatar Airways,2025-09-07 00:30:00,2025-09-07 00:50:00,G13,20,Dubai,Delhi
FL1472,Singapore Airlines,2025-09-07 01:00:00,2025-09-07 02:00:00,G17,60,Dubai,Zurich
FL1473,Lufthansa,2025-09-07 01:30:00,2025-09-07 01:40:00,G6,10,Dubai,Bangkok
FL1474,Emirates,2025-09-07 02:00:00,2025-09-07 02:15:00,G7,15,Dubai,New York
FL1475,Lufthansa,2025-09-07 02:30:00,2025-09-07 02:50:00,G3,20,Dubai,Zurich
FL1476,Singapore Airlines,2025-09-07 03:00:00,2025-09-07 03:10:00,G10,10,Dubai,Istanbul
FL1477,Turkish Airlines,2025-09-07 03:30:00,2025-09-07 04:10:00,G19,40,Dubai,Hong Kong
FL1478,Emirates,2025-09-07 04:00:00,2025-09-07 04:30:00,G4,30,Dubai,Toronto
FL1479,Qatar Airways,2025-09-07 04:30:00,2025-09-07 04:55:00,G12,25,Dubai,Zurich
FL1480,Emirates,2025-09-07 05:00:00,2025-09-07 05:20:00,G18,20,Dubai,Delhi
FL1481,Lufthansa,2025-09-07 05:30:00,2025-09-07 06:10:00,G7,40,Dubai,Chicago
FL1482,Emirates,2025-09-07 06:00:00,2025-09-07 06:00:00,G7,0,Dubai,Chicago
FL1483,Turkish Airlines,2025-09-07 06:30:00,2025-09-07 06:40:00,G4,10,Dubai,Amsterdam
FL1484,Emirates,2025-09-07 07:00:00,2025-09-07 07:25:00,G12,25,Dubai,Doha
FL1485,British Airways,2025-09-07 07:30:00,2025-09-07 07:55:00,G7,25,Dubai,Mumbai
FL1486,Air India,2025-09-07 08:00:00,2025-09-07 08:00:00,G1,0,Dubai,Istanbul
FL1487,British Airways,2025-09-07 08:30:00,2025-09-07 08:55:00,G10,25,Dubai,Amsterdam
FL1488,Turkish Airlines,2025-09-07 09:00:00,2025-09-07 09:40:00,G4,40,Dubai,Delhi
FL1489,Qatar Airways,2025-09-07 09:30:00,2025-09-07 10:05:00,G11,35,Dubai,Bangkok
FL1490,Lufthansa,2025-09-07 10:00:00,2025-09-07 10:40:00,G17,40,Dubai,Amsterdam
FL1491,Qatar Airways,2025-09-07 10:30:00,2025-09-07 11:10:00,G8,40,Dubai,Singapore
FL1492,Turkish Airlines,2025-09-07 11:00:00,2025-09-07 11:40:00,G6,40,Dubai,Cape Town
FL1493,Qatar Airways,2025-09-07 11:30:00,2025-09-07 12:30:00,G11,60,Dubai,Toronto
FL1494,Emirates,2025-09-07 12:00:00,2025-09-07 12:15:00,G16,15,Dubai,Zurich
FL1495,Air India,2025-09-07 12:30:00,2025-09-07 13:30:00,G16,60,Dubai,Paris
FL1496,Singapore Airlines,2025-09-07 13:00:00,2025-09-07 13:40:00,G5,40,Dubai,Mumbai
FL1497,Etihad,2025-09-07 13:30:00,2025-09-07 14:30:00,G7,60,Dubai,Zurich
FL1498,Qatar Airways,2025-09-07 14:00:00,2025-09-07 14:15:00,G3,15,Dubai,Chicago
FL1499,Etihad,2025-09-07 14:30:00,2025-09-07 14:50:00,G16,20,Dubai,London
